venue,ticker,pr_open,pr_high,pr_low,pr_close,volume,turnover,valid_time
MOEX,HKDRUB_TOM,7.8049,7.8049,7.8049,7.8049,1000,7804,2022-11-14 11:40:00+00:00
MOEX,HKDRUB_TOM,7.7931,7.8049,7.7931,7.8049,68000,530634,2022-11-14 11:41:00+00:00
MOEX,HKDRUB_TOM,7.8049,7.8049,7.8049,7.8049,21000,163902,2022-11-14 11:42:00+00:00
MOEX,HKDRUB_TOM,7.8049,7.8049,7.8049,7.8049,56000,437074,2022-11-14 11:43:00+00:00
MOEX,HKDRUB_TOM,7.8049,7.8049,7.8049,7.8049,103000,803904,2022-11-14 11:44:00+00:00
MOEX,HKDRUB_TOM,7.8049,7.8049,7.8049,7.8049,13000,101463,2022-11-14 11:45:00+00:00
MOEX,HKDRUB_TOM,7.8049,7.8049,7.8049,7.8049,11000,85853,2022-11-14 11:46:00+00:00
MOEX,HKDRUB_TOM,7.8049,7.809,7.8049,7.809,47000,366928,2022-11-14 11:47:00+00:00
MOEX,HKDRUB_TOM,7.809,7.809,7.809,7.809,5000,39045,2022-11-14 11:48:00+00:00
MOEX,HKDRUB_TOM,7.809,7.809,7.809,7.809,33000,257697,2022-11-14 11:49:00+00:00
MOEX,HKDRUB_TOM,7.809,7.809,7.809,7.809,2000,15618,2022-11-14 11:50:00+00:00
MOEX,HKDRUB_TOM,7.809,7.809,7.809,7.809,1000,7809,2022-11-14 11:51:00+00:00
MOEX,HKDRUB_TOM,7.809,7.8099,7.809,7.8099,31000,242106,2022-11-14 11:52:00+00:00
MOEX,HKDRUB_TOM,7.8099,7.8099,7.8099,7.8099,26000,203057,2022-11-14 11:53:00+00:00
MOEX,HKDRUB_TOM,7.8099,7.8099,7.8099,7.8099,17000,132768,2022-11-14 11:54:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.803,7.803,20000,156179,2022-11-14 11:55:00+00:00
MOEX,HKDRUB_TOM,7.803,7.8149,7.8004,7.8149,12000,93636,2022-11-14 11:56:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8149,7.8149,2000,15629,2022-11-14 11:57:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8149,7.8149,15000,117223,2022-11-14 11:59:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8149,7.8149,16000,125038,2022-11-14 12:00:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8149,7.8149,2000,15629,2022-11-14 12:01:00+00:00
MOEX,HKDRUB_TOM,7.8147,7.8147,7.8147,7.8147,19000,148479,2022-11-14 12:04:00+00:00
MOEX,HKDRUB_TOM,7.8128,7.8149,7.8128,7.8149,38000,296962,2022-11-14 12:05:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8149,7.8149,10000,78149,2022-11-14 12:06:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8149,7.8149,40000,312596,2022-11-14 12:07:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8128,7.8128,12000,93776,2022-11-14 12:08:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8149,7.8149,1000,7814,2022-11-14 12:09:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8149,7.8149,78000,609562,2022-11-14 12:10:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8149,7.8149,13000,101593,2022-11-14 12:11:00+00:00
MOEX,HKDRUB_TOM,7.8148,7.8148,7.8148,7.8148,7000,54703,2022-11-14 12:12:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8149,7.8149,202000,1578609,2022-11-14 12:13:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8149,7.8149,1000,7814,2022-11-14 12:15:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8149,7.8149,35000,273521,2022-11-14 12:17:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8148,7.8149,5000,39074,2022-11-14 12:18:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8149,7.8149,2000,15629,2022-11-14 12:19:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8149,7.8149,2000,15629,2022-11-14 12:20:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8149,7.8149,38000,296966,2022-11-14 12:21:00+00:00
MOEX,HKDRUB_TOM,7.8196,7.8196,7.8196,7.8196,10000,78196,2022-11-14 12:23:00+00:00
MOEX,HKDRUB_TOM,7.8149,7.8149,7.8128,7.8128,10000,78142,2022-11-14 12:25:00+00:00
MOEX,HKDRUB_TOM,7.8196,7.8197,7.8196,7.8197,5000,39098,2022-11-14 12:29:00+00:00
MOEX,HKDRUB_TOM,7.8197,7.8197,7.8128,7.8128,10000,78141,2022-11-14 12:32:00+00:00
MOEX,HKDRUB_TOM,7.8131,7.8131,7.8131,7.8131,1000,7813,2022-11-14 12:34:00+00:00
MOEX,HKDRUB_TOM,7.8131,7.8131,7.8131,7.8131,1000,7813,2022-11-14 12:35:00+00:00
MOEX,HKDRUB_TOM,7.8197,7.8198,7.8197,7.8198,10000,78197,2022-11-14 12:36:00+00:00
MOEX,HKDRUB_TOM,7.8198,7.8198,7.8131,7.8131,3000,23452,2022-11-14 12:37:00+00:00
MOEX,HKDRUB_TOM,7.8198,7.8198,7.8198,7.8198,1000,7819,2022-11-14 12:40:00+00:00
MOEX,HKDRUB_TOM,7.8131,7.8199,7.8131,7.8131,23000,179769,2022-11-14 12:41:00+00:00
MOEX,HKDRUB_TOM,7.8131,7.8131,7.8131,7.8131,10000,78131,2022-11-14 12:42:00+00:00
MOEX,HKDRUB_TOM,7.8199,7.8199,7.8131,7.8131,15000,117203,2022-11-14 12:43:00+00:00
